|||||||||
7|Tuckerton W|39.57888|74.32392|8/22/2012||29.9|24.9|5.85|85
7|Tuckerton E|39.55893|74.25448|8/22/2012||31.3|24.3|5.46|79.5
|||||||||
8|Metedeconk W|40.0511|74.06593|9/14/2012||23.3|22.7|5.68|77.2
8|Metedeconk E|40.04666|74.05424|9/14/2012||18.8|23.3|8.65|95.7
8|Silver Bay W|39.99215|74.12032|9/14/2012||15.8|22.3|7.3|94.6
8|Silver Bay E|39.98843|74.08605|9/14/2012||16.5|22.2|7.13|82.6
8|Toms River W|39.93254|74.11014|9/14/2012||14.6|21.6|7.04|88.7
8|Toms River E|39.92841|74.08548|9/14/2012||17|21.2|6.25|79.2
8|Forked River W|39.8218|74.15852|9/14/2012||27.9|23.7|4.16|58.3
8|Forked River E|39.81621|74.12297|9/14/2012||26.5|21.4|3.39|50.9
8|Double Creek W|39.78588|74.18233|9/10/2012||25.3|24.8|6.65|93.8
8|Double Creek E|39.76844|74.15285|9/10/2012||24.8|24.3|8.15|112.1
8|Harvey Cedars W|39.7007|74.16235|9/10/2012||24|23.3|5.85|79.1
8|Harvey Cedars E|39.69846|74.14614|9/10/2012||25.4|23.5|6.68|90.1
8|Westeconk W|39.61814|74.25837|9/10/2012||27.3|23.7|6.98|96.9
8|Westeconk E|39.59769|74.22965|9/10/2012||24.5|23|7.44|100.6
8|Tuckerton W|39.5786|74.32084|9/10/2012||28|23.6|7.15|99.2
8|Tuckerton E|39.55633|74.2552|9/10/2012||29.1|22.8|8.25|113.9
